date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:18	2242/2242	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Jul%202024%2006:46:42%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/js/hideAllExcept.js	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/js/hideAllExcept.js	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:19	2849/2849	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Jul%202024%2007:07:14%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/js/selectedCard.js	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/js/selectedCard.js	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:20	442/442	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Jul%202024%2007:07:14%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/js/selectedResponse.js	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/js/selectedResponse.js	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:21	1830/1830	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Jul%202024%2007:07:14%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/js/buttonCheck.js	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/js/buttonCheck.js	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:22	401/401	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2028%20Jul%202024%2004:05:00%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/js/popup.js	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/js/popup.js	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:23	1937/1937	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2028%20Jul%202024%2004:12:26%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/js/sendResponse.js	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/js/sendResponse.js	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:24	10415/10415	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2023:33:24%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/js/crypto-js.min.js	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/js/crypto-js.min.js	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:25	10415/10415	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2023:33:25%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/js/jquery-3.7.1.slim.min.js	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/js/jquery-3.7.1.slim.min.js	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:26	10415/10415	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2023:33:26%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/js/latest_1.js	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/js/latest_1.js	(from https://noticiasrecentesss.online/quizdivertida/quiz/)
20:33:27	10415/10415	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2023:33:27%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-brands-400.woff2	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-brands-400.woff2	(from https://noticiasrecentesss.online/quizdivertida/quiz/css/all.min.css)
20:33:28	10415/10415	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2023:33:28%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-brands-400.ttf	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-brands-400.ttf	(from https://noticiasrecentesss.online/quizdivertida/quiz/css/all.min.css)
20:33:29	10415/10415	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2023:33:29%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-regular-400.woff2	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-regular-400.woff2	(from https://noticiasrecentesss.online/quizdivertida/quiz/css/all.min.css)
20:33:30	10415/10415	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2023:33:30%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-regular-400.ttf	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-regular-400.ttf	(from https://noticiasrecentesss.online/quizdivertida/quiz/css/all.min.css)
20:33:31	10415/10415	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2023:33:31%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-solid-900.woff2	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-solid-900.woff2	(from https://noticiasrecentesss.online/quizdivertida/quiz/css/all.min.css)
20:33:32	10415/10415	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2023:33:32%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-solid-900.ttf	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-solid-900.ttf	(from https://noticiasrecentesss.online/quizdivertida/quiz/css/all.min.css)
20:33:33	10415/10415	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2023:33:33%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-v4compatibility.woff2	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-v4compatibility.woff2	(from https://noticiasrecentesss.online/quizdivertida/quiz/css/all.min.css)
20:33:34	10415/10415	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Aug%202024%2023:33:34%20GMT	https://noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-v4compatibility.ttf	/Users/angelicaevinicius/Downloads/Produtos/Paginas%20Quizz/Divertidamente/noticiasrecentesss.online/quizdivertida/quiz/fonts/fa-v4compatibility.ttf	(from https://noticiasrecentesss.online/quizdivertida/quiz/css/all.min.css)
